id,question,category,tags,tags_list,question_lower
492,What helps runny nose and sneezing?,Cold & Flu,runny nose;sneezing;antihistamine;care,"['runny nose', 'sneezing', 'antihistamine', 'care']",what helps runny nose and sneezing?
493,What helps fever and chills?,Cold & Flu,fever;chills;acetaminophen;hydration,"['fever', 'chills', 'acetaminophen', 'hydration']",what helps fever and chills?
494,What can I take for sinus congestion?,Cold & Flu,sinus congestion;saline;decongestant;steam,"['sinus congestion', 'saline', 'decongestant', 'steam']",what can i take for sinus congestion?
495,What can I take for a headache with a cold?,Cold & Flu,headache;cold;acetaminophen;ibuprofen,"['headache', 'cold', 'acetaminophen', 'ibuprofen']",what can i take for a headache with a cold?
496,What’s the best OTC option for mild pain?,Pain Relief,mild pain;otc;acetaminophen;ibuprofen,"['mild pain', 'otc', 'acetaminophen', 'ibuprofen']",what’s the best otc option for mild pain?
497,What can I take for stomach pain from reflux?,Acid Reflux,stomach pain;reflux;antacid;doctor,"['stomach pain', 'reflux', 'antacid', 'doctor']",what can i take for stomach pain from reflux?
498,What helps itchy nose from allergies?,Allergies,itchy nose;allergy;nasal steroid;antihistamine,"['itchy nose', 'allergy', 'nasal steroid', 'antihistamine']",what helps itchy nose from allergies?
499,What can I do for trouble falling asleep?,Sleep,falling asleep;insomnia;routine;tips,"['falling asleep', 'insomnia', 'routine', 'tips']",what can i do for trouble falling asleep?
500,What should I do if I took medicine with expired date?,Storage,expired;medicine;what to do;safety,"['expired', 'medicine', 'what to do', 'safety']",what should i do if i took medicine with expired date?
501,What can I take for heartburn if I’m on other medications?,Acid Reflux,heartburn;interaction;antacid;timing,"['heartburn', 'interaction', 'antacid', 'timing']",what can i take for heartburn if i’m on other medications?
502,Can I take allergy meds if I’m also taking cold medicine?,Allergies,allergy;cold medicine;double ingredients;safety,"['allergy', 'cold medicine', 'double ingredients', 'safety']",can i take allergy meds if i’m also taking cold medicine?
503,Can I take NyQuil if I already took Tylenol?,Cold & Flu,nyquil;tylenol;acetaminophen;overdose,"['nyquil', 'tylenol', 'acetaminophen', 'overdose']",can i take nyquil if i already took tylenol?
504,Can I take two medicines that both have acetaminophen?,Dosage,acetaminophen;duplicate;overdose;label,"['acetaminophen', 'duplicate', 'overdose', 'label']",can i take two medicines that both have acetaminophen?
505,How can I tell if two OTC products have the same ingredients?,Dosage,otc;ingredients;labels;duplicate,"['otc', 'ingredients', 'labels', 'duplicate']",how can i tell if two otc products have the same ingredients?
506,Can I take ibuprofen and naproxen on the same day?,Pain Relief,ibuprofen;naproxen;nsaid;avoid,"['ibuprofen', 'naproxen', 'nsaid', 'avoid']",can i take ibuprofen and naproxen on the same day?
507,Can I take aspirin and ibuprofen together?,Pain Relief,aspirin;ibuprofen;timing;interaction,"['aspirin', 'ibuprofen', 'timing', 'interaction']",can i take aspirin and ibuprofen together?
508,Can I take omeprazole and antacids on the same day?,Acid Reflux,omeprazole;antacid;timing;reflux,"['omeprazole', 'antacid', 'timing', 'reflux']",can i take omeprazole and antacids on the same day?
509,Can I take Zyrtec and Claritin together?,Allergies,zyrtec;claritin;double antihistamine;avoid,"['zyrtec', 'claritin', 'double antihistamine', 'avoid']",can i take zyrtec and claritin together?
510,Can I take melatonin and Benadryl together?,Sleep,melatonin;benadryl;drowsiness;avoid,"['melatonin', 'benadryl', 'drowsiness', 'avoid']",can i take melatonin and benadryl together?
511,Can I store medicine in a weekly pill box for a long time?,Storage,pill box;stability;humidity;safety,"['pill box', 'stability', 'humidity', 'safety']",can i store medicine in a weekly pill box for a long time?
512,What should I do if my medicine froze?,Storage,frozen;medicine;stability;what to do,"['frozen', 'medicine', 'stability', 'what to do']",what should i do if my medicine froze?
513,What should I do if my medicine got too hot?,Storage,heat;medicine;potency;what to do,"['heat', 'medicine', 'potency', 'what to do']",what should i do if my medicine got too hot?
514,Can I take prenatal vitamins and iron together?,Vitamins,prenatal;iron;constipation;timing,"['prenatal', 'iron', 'constipation', 'timing']",can i take prenatal vitamins and iron together?
515,Can I take vitamin B12 supplements?,Vitamins,vitamin B12;supplement;deficiency;safe,"['vitamin b12', 'supplement', 'deficiency', 'safe']",can i take vitamin b12 supplements?
516,What should I do for an itchy rash?,Skin,rash;itch;hydrocortisone;antihistamine,"['rash', 'itch', 'hydrocortisone', 'antihistamine']",what should i do for an itchy rash?
517,Can I use antibiotic cream on acne?,Skin,acne;antibiotic ointment;not recommended;irritation,"['acne', 'antibiotic ointment', 'not recommended', 'irritation']",can i use antibiotic cream on acne?
518,What should I do if I get ear ringing?,Eyes & Ears,tinnitus;ear ringing;warning signs;doctor,"['tinnitus', 'ear ringing', 'warning signs', 'doctor']",what should i do if i get ear ringing?
519,Can I take cold medicine if I’m on antidepressants?,Drug Interactions,cold medicine;antidepressant;dextromethorphan;serotonin,"['cold medicine', 'antidepressant', 'dextromethorphan', 'serotonin']",can i take cold medicine if i’m on antidepressants?
520,Can I take dextromethorphan with sertraline?,Drug Interactions,dextromethorphan;sertraline;serotonin syndrome;risk,"['dextromethorphan', 'sertraline', 'serotonin syndrome', 'risk']",can i take dextromethorphan with sertraline?
521,Can I take cough medicine if I have high blood pressure?,Heart,cough medicine;hypertension;decongestant;safe,"['cough medicine', 'hypertension', 'decongestant', 'safe']",can i take cough medicine if i have high blood pressure?
522,Can I take decongestants if I have anxiety?,Mental Health,anxiety;decongestant;palpitations;avoid,"['anxiety', 'decongestant', 'palpitations', 'avoid']",can i take decongestants if i have anxiety?
523,Can I take NSAIDs if I have diabetes?,Diabetes,diabetes;nsaid;kidney;safe,"['diabetes', 'nsaid', 'kidney', 'safe']",can i take nsaids if i have diabetes?
524,Can I take antacids if I have kidney disease?,Acid Reflux,kidney disease;antacid;magnesium;aluminum,"['kidney disease', 'antacid', 'magnesium', 'aluminum']",can i take antacids if i have kidney disease?
525,Can I take magnesium-based antacids if I have kidney disease?,Acid Reflux,kidney disease;magnesium antacid;avoid;doctor,"['kidney disease', 'magnesium antacid', 'avoid', 'doctor']",can i take magnesium-based antacids if i have kidney disease?
526,Can I take calcium carbonate antacids if I have kidney disease?,Acid Reflux,kidney disease;calcium carbonate;safe;doctor,"['kidney disease', 'calcium carbonate', 'safe', 'doctor']",can i take calcium carbonate antacids if i have kidney disease?
527,Can I take ibuprofen if I’m dehydrated from the flu?,Cold & Flu,dehydration;ibuprofen;kidney;safe,"['dehydration', 'ibuprofen', 'kidney', 'safe']",can i take ibuprofen if i’m dehydrated from the flu?
528,Can I take loperamide for diarrhea from a stomach bug?,Dosage,diarrhea;stomach bug;loperamide;safety,"['diarrhea', 'stomach bug', 'loperamide', 'safety']",can i take loperamide for diarrhea from a stomach bug?
529,What should I drink when I’m sick to stay hydrated?,Cold & Flu,hydration;flu;electrolytes;tips,"['hydration', 'flu', 'electrolytes', 'tips']",what should i drink when i’m sick to stay hydrated?
530,What should I do if I’m vomiting and can’t keep fluids down?,Dosage,vomiting;dehydration;when to seek care;tips,"['vomiting', 'dehydration', 'when to seek care', 'tips']",what should i do if i’m vomiting and can’t keep fluids down?
531,Can I use calamine lotion for itching?,Skin,calamine;itch;poison ivy;safe,"['calamine', 'itch', 'poison ivy', 'safe']",can i use calamine lotion for itching?
532,What should I do if I accidentally took my medicine twice?,Dosage,double dose;accidental;call pharmacist;poison control,"['double dose', 'accidental', 'call pharmacist', 'poison control']",what should i do if i accidentally took my medicine twice?
